Ö;Le¡r s;T vols g (m);Sebess‚g (Km/h);Menetid‹ (perc);Egyir ny£?;S£lykorl toz s z¢na;C‚lforgalomban haszn lhat¢?;étd¡j szelv‚ny;étd¡j
6-V ros;Almafa utca;416,00;50,00;0,50;; ;;;0,00
6-V ros;Tibormajori utca;1 133,00;50,00;1,36;; ;;;0,00
5-Als¢bbrendu £t;Tatai £t;2 188,00;70,00;1,88;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;;36,00;70,00;0,03;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;;186,00;70,00;0,16;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;Feh‚rv ri £t;152,00;70,00;0,13;; ;;;0,00
6-V ros;Feh‚rv ri £t;67,00;50,00;0,08;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;Feh‚rv ri £t;937,00;70,00;0,80;; ;;;0,00
6-V ros;;48,00;50,00;0,06;; ;;;0,00
5-Als¢bbrendu £t;Szigethy Attila utca;2 012,00;70,00;1,72;; ;;;0,00
5-Als¢bbrendu £t;N dor t‚r;71,00;70,00;0,06;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;Orgona utca;860,00;70,00;0,74;; ;;;0,00
